,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,CLE,CHA,04/17/2013,240,L,98,39,80,48.8,8,23,34.8,12,18,66.7,4,31,35,24,9,3,12,24,-7
1,CHA,CLE,04/17/2013,240,W,105,37,73,50.7,8,20,40.0,23,30,76.7,7,33,40,28,8,4,15,14,7
2,MIL,OKC,04/17/2013,240,W,95,36,85,42.4,10,27,37.0,13,18,72.2,17,36,53,18,5,3,12,11,6
3,OKC,MIL,04/17/2013,240,L,89,37,89,41.6,3,21,14.3,12,14,85.7,13,31,44,16,8,2,8,14,-6
4,MEM,UTA,04/17/2013,240,W,86,34,84,40.5,4,13,30.8,14,20,70.0,19,38,57,22,7,8,11,24,16
5,UTA,MEM,04/17/2013,240,L,70,25,78,32.1,3,11,27.3,17,26,65.4,17,30,47,15,6,6,14,18,-16
6,BOS,TOR,04/17/2013,240,L,90,37,84,44.0,7,17,41.2,9,13,69.2,9,29,38,19,7,2,13,22,-24
7,TOR,BOS,04/17/2013,240,W,114,40,80,50.0,12,21,57.1,22,28,78.6,9,37,46,26,5,5,11,14,24
8,DEN,PHX,04/17/2013,240,W,118,49,93,52.7,4,16,25.0,16,20,80.0,15,39,54,28,8,8,16,13,20
9,PHX,DEN,04/17/2013,240,L,98,40,104,38.5,7,25,28.0,11,17,64.7,20,27,47,29,8,5,13,18,-20
10,LAC,SAC,04/17/2013,240,W,112,44,88,50.0,12,24,50.0,12,18,66.7,11,33,44,25,5,3,13,20,4
11,SAC,LAC,04/17/2013,240,L,108,40,89,44.9,9,26,34.6,19,25,76.0,12,32,44,23,5,4,11,20,-4
12,NOH,DAL,04/17/2013,240,L,87,31,84,36.9,4,11,36.4,21,28,75.0,25,33,58,11,5,3,21,17,-12
13,DAL,NOH,04/17/2013,240,W,99,42,82,51.2,6,16,37.5,9,11,81.8,7,30,37,24,12,5,11,23,12
14,PHI,IND,04/17/2013,240,W,105,43,85,50.6,8,19,42.1,11,14,78.6,10,32,42,16,9,6,16,23,10
15,IND,PHI,04/17/2013,240,L,95,36,80,45.0,6,26,23.1,17,27,63.0,13,29,42,17,8,4,16,14,-10
16,GSW,POR,04/17/2013,240,W,99,40,93,43.0,9,21,42.9,10,13,76.9,14,38,52,21,7,3,12,17,11
17,POR,GSW,04/17/2013,240,L,88,35,82,42.7,6,12,50.0,12,14,85.7,6,36,42,18,2,5,14,13,-11
18,ORL,MIA,04/17/2013,240,L,93,40,77,51.9,2,14,14.3,11,25,44.0,8,33,41,23,5,1,15,22,-12
19,MIA,ORL,04/17/2013,240,W,105,42,78,53.8,12,29,41.4,9,19,47.4,6,28,34,31,7,12,12,18,12
20,DET,BKN,04/17/2013,240,L,99,37,78,47.4,1,13,7.7,24,32,75.0,10,29,39,17,17,5,24,24,-4
21,BKN,DET,04/17/2013,240,W,103,39,81,48.1,8,24,33.3,17,23,73.9,11,27,38,28,13,3,24,24,4
22,ATL,NYK,04/17/2013,240,L,92,37,90,41.1,2,21,9.5,16,17,94.1,15,38,53,14,7,2,13,15,-6
23,NYK,ATL,04/17/2013,240,W,98,39,91,42.9,9,24,37.5,11,16,68.8,16,34,50,21,8,3,12,16,6
24,WAS,CHI,04/17/2013,240,L,92,36,85,42.4,7,16,43.8,13,17,76.5,7,30,37,17,7,5,9,17,-3
25,CHI,WAS,04/17/2013,240,W,95,37,78,47.4,7,18,38.9,14,19,73.7,12,33,45,26,5,2,15,22,3
26,HOU,LAL,04/17/2013,265,L,95,35,84,41.7,8,33,24.2,17,24,70.8,9,37,46,21,6,5,14,28,-4
27,LAL,HOU,04/17/2013,265,W,99,33,90,36.7,10,32,31.3,23,34,67.6,17,40,57,27,6,6,13,17,4
28,SAS,MIN,04/17/2013,240,L,95,33,79,41.8,7,18,38.9,22,22,100,4,36,40,20,5,2,18,22,-13
29,MIN,SAS,04/17/2013,240,W,108,42,91,46.2,12,29,41.4,12,16,75.0,8,37,45,26,11,2,12,17,13
30,ATL,TOR,04/16/2013,240,L,96,35,88,39.8,9,28,32.1,17,23,73.9,14,28,42,22,8,1,11,19,-17
