,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,MIA,ORL,04/20/2005,240,W,98,37,69,53.6,5,15,33.3,19,22,86.4,6,23,29,21,12,5,21,19,5
1,ORL,MIA,04/20/2005,240,L,93,35,81,43.2,7,19,36.8,16,23,69.6,13,23,36,10,11,2,22,21,-5
2,MEM,DAL,04/20/2005,240,L,88,31,69,44.9,2,14,14.3,24,28,85.7,9,18,27,16,7,6,15,22,-20
3,DAL,MEM,04/20/2005,240,W,108,38,73,52.1,4,11,36.4,28,33,84.8,13,29,42,31,9,3,14,23,20
4,LAC,NOH,04/20/2005,240,W,86,34,83,41.0,3,5,60.0,15,22,68.2,18,37,55,15,9,6,14,16,11
5,NOH,LAC,04/20/2005,240,L,75,29,86,33.7,1,15,6.7,16,17,94.1,17,27,44,19,6,7,12,22,-11
6,CHI,IND,04/20/2005,240,L,83,34,77,44.2,5,11,45.5,10,15,66.7,11,28,39,21,9,4,13,22,-2
7,IND,CHI,04/20/2005,240,W,85,31,77,40.3,2,14,14.3,21,26,80.8,17,31,48,12,8,4,13,20,2
8,POR,LAL,04/20/2005,240,W,106,42,76,55.3,3,8,37.5,19,25,76.0,6,30,36,28,9,0,13,23,3
9,LAL,POR,04/20/2005,240,L,103,36,84,42.9,8,31,25.8,23,29,79.3,11,28,39,21,6,3,13,19,-3
10,ATL,PHI,04/20/2005,240,L,86,32,79,40.5,3,12,25.0,19,23,82.6,10,33,43,20,10,3,23,23,-24
11,PHI,ATL,04/20/2005,240,W,110,39,76,51.3,9,28,32.1,23,30,76.7,5,31,36,22,13,6,18,22,24
12,UTA,GSW,04/20/2005,240,L,89,32,84,38.1,2,12,16.7,23,39,59.0,25,28,53,21,9,2,17,24,-17
13,GSW,UTA,04/20/2005,240,W,106,34,75,45.3,10,26,38.5,28,38,73.7,13,34,47,21,8,6,16,26,17
14,SAS,MIN,04/20/2005,240,L,73,26,73,35.6,6,14,42.9,15,22,68.2,8,31,39,17,7,6,14,13,-22
15,MIN,SAS,04/20/2005,240,W,95,39,93,41.9,2,7,28.6,15,16,93.8,19,39,58,20,9,8,11,17,22
16,NJN,BOS,04/20/2005,240,W,102,30,79,38.0,11,26,42.3,31,43,72.1,17,28,45,18,9,0,13,20,9
17,BOS,NJN,04/20/2005,240,L,93,35,76,46.1,10,23,43.5,13,17,76.5,11,30,41,24,9,2,19,33,-9
18,WAS,NYK,04/20/2005,240,L,105,42,87,48.3,8,24,33.3,13,28,46.4,8,29,37,14,7,2,7,20,-8
19,NYK,WAS,04/20/2005,240,W,113,40,81,49.4,7,18,38.9,26,26,100,10,36,46,20,2,6,15,24,8
20,SAC,PHX,04/20/2005,240,W,132,51,98,52.0,12,24,50.0,18,21,85.7,15,40,55,33,5,5,12,17,25
21,PHX,SAC,04/20/2005,240,L,107,38,88,43.2,12,30,40.0,19,24,79.2,9,32,41,17,7,5,17,18,-25
22,HOU,SEA,04/20/2005,240,W,106,36,67,53.7,11,16,68.8,23,29,79.3,7,30,37,19,7,4,10,18,28
23,SEA,HOU,04/20/2005,240,L,78,31,72,43.1,2,18,11.1,14,18,77.8,10,23,33,16,3,5,13,20,-28
24,CLE,TOR,04/20/2005,240,W,104,38,83,45.8,5,14,35.7,23,39,59.0,15,34,49,26,5,6,11,24,9
25,TOR,CLE,04/20/2005,240,L,95,36,79,45.6,3,10,30.0,20,24,83.3,7,30,37,14,6,5,11,25,-9
26,CHA,DET,04/20/2005,240,W,97,36,75,48.0,1,4,25.0,24,32,75.0,10,33,43,24,9,8,13,22,11
27,DET,CHA,04/20/2005,240,L,86,34,79,43.0,1,8,12.5,17,23,73.9,10,27,37,17,5,8,13,20,-11
28,MIL,TOR,04/19/2005,240,L,109,40,88,45.5,4,15,26.7,25,28,89.3,14,30,44,22,6,2,16,18,-18
29,TOR,MIL,04/19/2005,240,W,127,46,88,52.3,12,23,52.2,23,26,88.5,10,32,42,29,9,2,16,26,18
30,NYK,CHI,04/19/2005,240,L,91,38,82,46.3,4,15,26.7,11,20,55.0,13,36,49,21,7,2,17,16,-1
31,CHI,NYK,04/19/2005,240,W,92,33,82,40.2,13,25,52.0,13,13,100,7,29,36,24,6,5,14,21,1
32,BOS,CLE,04/19/2005,240,L,86,33,76,43.4,3,15,20.0,17,23,73.9,10,20,30,22,9,5,17,25,-14
33,CLE,BOS,04/19/2005,240,W,100,40,79,50.6,4,7,57.1,16,23,69.6,17,31,48,30,10,8,20,24,14
34,POR,DEN,04/19/2005,240,L,115,43,85,50.6,2,10,20.0,27,42,64.3,10,30,40,24,12,11,13,15,-4
35,DEN,POR,04/19/2005,240,W,119,46,95,48.4,3,13,23.1,24,27,88.9,15,37,52,29,8,8,15,30,4
36,NJN,WAS,04/19/2005,240,W,109,42,86,48.8,8,21,38.1,17,21,81.0,11,25,36,25,10,1,8,16,8
37,WAS,NJN,04/19/2005,240,L,101,37,79,46.8,7,17,41.2,20,27,74.1,15,27,42,22,4,4,16,23,-8
38,DAL,SEA,04/19/2005,240,W,101,40,79,50.6,4,11,36.4,17,24,70.8,13,25,38,32,10,4,13,19,5
39,SEA,DAL,04/19/2005,240,L,96,33,73,45.2,10,21,47.6,20,26,76.9,12,29,41,14,11,6,17,21,-5
40,MIA,CHA,04/19/2005,240,W,99,37,84,44.0,8,25,32.0,17,25,68.0,12,40,52,22,8,6,12,21,19
41,CHA,MIA,04/19/2005,240,L,80,30,75,40.0,1,12,8.3,19,26,73.1,4,35,39,16,7,1,15,21,-19
42,DET,ATL,04/19/2005,240,W,95,40,72,55.6,3,6,50.0,12,26,46.2,14,35,49,24,9,5,17,18,27
43,ATL,DET,04/19/2005,240,L,68,28,85,32.9,2,10,20.0,10,16,62.5,21,21,42,16,6,2,13,24,-27
44,MIN,NOH,04/18/2005,240,W,102,42,84,50.0,1,8,12.5,17,27,63.0,15,28,43,27,6,6,6,18,3
45,NOH,MIN,04/18/2005,240,L,99,38,79,48.1,6,18,33.3,17,24,70.8,11,28,39,30,3,5,12,21,-3
